Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Ledgett Richard H. Jr.,Director,2022-02-21,Buy,156.40,390,"61,000",390,Feb 23 04:35 PM
Warman D Scott N,Sr. Executive Vice President,2022-09-09,Sale,188.55,"2,000","377,100","8,349",Sep 12 05:03 PM
Todaro Michael J.,Sr. Executive Vice President,2022-08-19,Sale,188.83,"1,050","198,270","3,667",Aug 22 04:33 PM
GEISEL GARY N,Director,2022-08-19,Sale,189.34,533,"100,918","17,740",Aug 22 04:35 PM
GEISEL GARY N,Director,2022-08-19,Sale,189.20,500,"94,601","2,490",Aug 22 04:35 PM
Bojdak Robert J,Sr. Executive Vice President,2022-08-15,Sale,188.80,"1,290","243,551","17,785",Aug 17 04:49 PM
Trolli Michele D,Executive Vice President,2022-08-12,Sale,189.28,"4,667","883,351","9,197",Aug 16 04:07 PM
BARNES JOHN P,Director,2022-08-10,Option Exercise,109.67,"12,508","1,371,752","46,099",Aug 12 04:25 PM
BARNES JOHN P,Director,2022-08-10,Sale,184.10,"12,508","2,302,684","33,591",Aug 12 04:25 PM
WALTERS KIRK W,Director,2022-08-09,Option Exercise,109.67,"19,545","2,143,500","27,250",Aug 11 03:57 PM
WALTERS KIRK W,Director,2022-08-09,Sale,180.00,"21,116","3,800,880","6,134",Aug 11 03:57 PM
WALTERS KIRK W,Director,2022-08-09,Sale,180.00,"1,612","290,160","4,688",Aug 11 03:57 PM
Warren Edna Jennifer,Sr. Executive Vice President,2022-07-25,Buy,171.2,6,"1,027",6,Jul 28 04:16 PM
Bojdak Robert J,Sr. Executive Vice President,2022-06-08,Sale,177.82,525,"93,356","19,075",Jun 09 04:02 PM
KAY CHRISTOPHER E,Sr. Executive Vice President,2022-06-03,Sale,178.83,"2,200","393,426","5,350",Jun 07 04:19 PM
Meister Doris P.,Sr. Executive Vice President,2022-06-01,Option Exercise,156.71,"10,332","1,619,115","16,030",Jun 03 04:35 PM
Meister Doris P.,Sr. Executive Vice President,2022-06-01,Sale,176.67,"9,813","1,733,683","6,217",Jun 03 04:35 PM
Warman D Scott N,Sr. Executive Vice President,2022-06-01,Sale,177.78,"2,000","355,557","10,349",Jun 03 04:36 PM
GEISEL GARY N,Director,2022-05-27,Sale,178.59,"1,051","187,696","18,998",Jun 01 03:57 PM
PEARSON KEVIN J,Vice Chairman,2022-05-17,Sale,169.71,"5,000","848,525","39,008",May 19 05:03 PM
Warman D Scott N,Executive Vice President,2021-11-12,Sale,159.88,"3,964","633,773","10,522",Nov 16 04:32 PM
Bojdak Robert J,Executive Vice President,2021-10-25,Sale,158.76,770,"122,242","17,471",Oct 27 04:33 PM
