Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Presley William T.,"SVP & COO & President, S&PS",2022-03-06,Sale,120.00,"7,000","840,000","62,833",Mar 07 04:07 PM
CLARK KEVIN P,Chairman and CEO,2022-02-23,Sale,115.54,"6,665","770,062","539,242",Feb 24 04:03 PM
CLARK KEVIN P,Chairman and CEO,2022-02-22,Sale,115.82,"6,665","771,935","545,907",Feb 24 04:03 PM
CLARK KEVIN P,Chairman and CEO,2022-01-05,Sale,95.83,"6,665","638,674","552,572",Jan 06 04:03 PM
CLARK KEVIN P,Chairman and CEO,2022-01-04,Sale,95.34,"6,665","635,453","559,237",Jan 06 04:03 PM
CLARK KEVIN P,Chairman and CEO,2022-12-14,Sale,97.06,"6,665","646,895","565,902",Dec 15 04:08 PM
CLARK KEVIN P,Chairman and CEO,2022-12-13,Sale,97.49,"6,665","649,775","572,567",Dec 15 04:08 PM
CLARK KEVIN P,Chairman and CEO,2022-11-30,Sale,104.50,"6,665","696,492","579,232",Dec 01 04:03 PM
CLARK KEVIN P,Chairman and CEO,2022-11-29,Sale,102.03,"6,665","680,018","585,897",Dec 01 04:03 PM
CLARK KEVIN P,Chairman and CEO,2022-10-19,Sale,86.04,"6,665","573,485","592,562",Oct 20 04:03 PM
CLARK KEVIN P,Chairman and CEO,2022-10-18,Sale,87.97,"6,665","586,313","599,227",Oct 20 04:03 PM
CLARK KEVIN P,Chairman and CEO,2022-09-15,Sale,98.76,"6,665","658,263","605,892",Sep 16 04:04 PM
CLARK KEVIN P,Chairman and CEO,2022-09-14,Sale,97.03,"6,665","646,710","612,557",Sep 16 04:04 PM
Massaro Joseph R,"CFO and SVP, Business Ops",2022-09-01,Sale,91.87,"1,900","174,553","180,229",Sep 02 04:06 PM
CLARK KEVIN P,Chairman and CEO,2022-08-24,Sale,97.64,"6,665","650,763","619,222",Aug 25 04:06 PM
CLARK KEVIN P,Chairman and CEO,2022-08-23,Sale,96.76,"6,665","644,886","625,887",Aug 25 04:06 PM
CLARK KEVIN P,Chairman and CEO,2022-07-14,Sale,86.44,"6,665","576,105","632,552",Jul 15 04:00 PM
CLARK KEVIN P,Chairman and CEO,2022-07-13,Sale,89.36,"6,665","595,597","639,217",Jul 15 04:00 PM
CLARK KEVIN P,Chairman and CEO,2022-06-08,Sale,109.96,"6,665","732,876","645,882",Jun 09 04:54 PM
CLARK KEVIN P,Chairman and CEO,2022-06-07,Sale,109.6,"6,705","734,882","652,547",Jun 09 04:54 PM
Presley William T.,"SVP & President, S&PS",2022-06-06,Sale,108.52,"2,000","217,040","45,681",Jun 07 05:10 PM
CLARK KEVIN P,Chairman and CEO,2022-05-12,Sale,91.17,"5,910","538,808","659,252",May 13 04:01 PM
CLARK KEVIN P,Chairman and CEO,2022-05-11,Sale,93.29,"5,830","543,863","665,162",May 13 04:01 PM
CLARK KEVIN P,President and CEO,2022-04-14,Sale,107.85,"5,830","628,764","670,992",Apr 14 09:53 PM
CLARK KEVIN P,President and CEO,2022-04-13,Sale,109.98,"5,830","641,204","676,822",Apr 14 09:53 PM
CLARK KEVIN P,President and CEO,2022-03-16,Sale,115.52,"5,830","673,501","614,106",Mar 17 04:06 PM
CLARK KEVIN P,President and CEO,2022-03-15,Sale,108.19,"5,830","630,757","619,936",Mar 17 04:06 PM
CLARK KEVIN P,President and CEO,2022-01-12,Sale,159.8,"5,830","931,615","637,426",Jan 13 04:12 PM
CLARK KEVIN P,President and CEO,2022-01-11,Sale,159.51,"5,830","929,930","643,256",Jan 13 04:12 PM
Trickett Mariya K.,SVP and CHRO,2021-12-16,Sale,164.9,"4,670","770,083","50,890",Dec 17 04:36 PM
CLARK KEVIN P,President and CEO,2021-12-16,Sale,164.18,"5,830","957,182","649,086",Dec 17 04:08 PM
CLARK KEVIN P,President and CEO,2021-12-15,Sale,160.98,"5,830","938,534","654,916",Dec 17 04:08 PM
Presley William T.,"SVP & President, S&PS",2021-12-13,Sale,168.02,994,"167,012","38,152",Dec 14 04:05 PM
CLARK KEVIN P,President and CEO,2021-11-10,Sale,171.32,"5,830","998,804","660,746",Nov 12 04:07 PM
CLARK KEVIN P,President and CEO,2021-11-09,Sale,172.8,"5,830","1,007,411","666,576",Nov 12 04:07 PM
CLARK KEVIN P,President and CEO,2021-10-14,Sale,166.9,"5,830","973,054","672,406",Oct 15 04:04 PM
CLARK KEVIN P,President and CEO,2021-10-13,Sale,163.64,"5,830","954,030","678,236",Oct 15 04:04 PM
CLARK KEVIN P,President and CEO,2021-09-16,Sale,149.26,"5,830","870,187","684,066",Sep 17 04:08 PM
CLARK KEVIN P,President and CEO,2021-09-15,Sale,153.44,"5,830","894,542","689,896",Sep 17 04:08 PM
Massaro Joseph R,"CFO and SVP, Business Ops",2021-09-15,Sale,150.34,"1,600","240,544","163,604",Sep 17 04:09 PM
CLARK KEVIN P,President and CEO,2021-08-19,Sale,152.44,"5,830","888,697","695,726",Aug 20 04:05 PM
CLARK KEVIN P,President and CEO,2021-08-18,Sale,157.89,"5,830","920,481","701,556",Aug 20 04:05 PM
CLARK KEVIN P,President and CEO,2021-07-14,Sale,155.8,"5,830","908,312","646,669",Jul 15 04:09 PM
CLARK KEVIN P,President and CEO,2021-07-13,Sale,157.41,"5,830","917,721","652,499",Jul 15 04:09 PM
Brazier Allan J,Chief Accounting Officer,2021-07-02,Sale,160.0,"8,500","1,360,000","19,467",Jul 06 04:33 PM
